timestamp,source,channel,batch_idx,sample_in_batch,global_sample_idx,observed_min,observed_max,observed_mean,allowed_lower,allowed_upper,csv_min,csv_max,p01,p99,finite_ratio,nonfinite_count,violation,below_by,above_by
2022-01-01 00:00:00,cma,z850,0,0,0,9406.76953125,18024.36328125,13825.5654296875,8903.49169921875,16602.69287109375,9545.091796875,15961.0927734375,10216.357421875,15501.6513671875,1.0,0,above_max,0.0,1421.67041015625
2022-01-01 00:00:00,cma,z925,0,0,0,2835.416015625,11968.3486328125,7161.8369140625,2460.5858154296875,9915.777709960938,3081.851806640625,9294.51171875,3673.682861328125,8815.8974609375,1.0,0,above_max,0.0,2052.5709228515625
2022-01-01 00:00:00,cma,z1000,0,0,0,-3031.08056640625,6380.36083984375,1018.872314453125,-3704.9665771484374,4229.005395507813,-3043.80224609375,3567.841064453125,-2445.5966796875,2886.279052734375,1.0,0,above_max,0.0,2151.355444335937
2022-01-01 00:00:00,cma,t50,0,0,0,192.5369873046875,244.99099731445312,213.69932556152344,184.55128631591796,244.06768646240235,189.510986328125,239.1079864501953,191.48898315429688,237.56298828125,1.0,0,above_max,0.0,0.9233108520507756
2022-01-01 00:00:00,cma,t250,0,0,0,203.0113525390625,245.25283813476562,222.1605987548828,199.91574401855465,242.15813903808595,203.4359436035156,238.637939453125,205.2699279785156,234.98043823242188,1.0,0,above_max,0.0,3.094699096679676
2022-01-01 00:00:00,cma,t300,0,0,0,207.7021484375,254.0411376953125,228.0698699951172,202.29721069335938,252.88742065429688,206.5130615234375,248.67156982421875,209.8265686035156,244.75857543945312,1.0,0,above_max,0.0,1.153717041015625
2022-01-01 00:00:00,cma,u150,0,0,0,-27.749664306640625,85.16033935546875,14.958685874938965,-45.561387634277345,82.8806167602539,-34.857887268066406,72.17711639404297,-21.327884674072266,56.14711380004883,1.0,0,above_max,0.0,2.2797225952148494
2022-01-01 00:00:00,cma,v50,0,0,0,-36.55929183959961,41.39570617675781,0.14666399359703064,-30.524716949462892,36.77367935180664,-24.91651725769043,31.16547966003418,-18.581018447875977,22.86298105239868,1.0,0,below_min;above_max,6.034574890136717,4.6220268249511705
2022-01-01 00:00:00,cma,v100,0,0,0,-30.099143981933594,27.94385528564453,-0.004714369308203459,-27.414196968078617,32.050002098083496,-22.45884704589844,27.09465217590332,-16.778846740722656,16.470958366394036,1.0,0,below_min,2.684947013854977,0.0
2022-01-01 00:00:00,cma,v150,0,0,0,-37.1040153503418,40.110984802246094,0.14970603585243225,-34.94914302825928,46.020857429504396,-28.201642990112305,39.27335739135742,-19.726642608642575,22.943359375,1.0,0,below_min,2.154872322082518,0.0
